# latent-dirac positron yield table v1
# generator = engine/positrongen
# geant4_version = $Name: geant4-11-04-patch-02 [MT]$
# physics_list = FTFP_BERT
# datasets = G4NDL4.7.1,G4EMLOW8.8,PhotonEvaporation6.1.2,RadioactiveDecay6.1.2,G4PARTICLEXS4.2,G4PII1.3,RealSurface2.2,G4SAIDDATA2.0,G4ABLA3.3,G4INCL1.3,G4ENSDFSTATE3.0,G4CHANNELING2.0
# patches = none
# primary = e-
# primary_kinetic_mev = 10
# n_primaries = 10000000
# target = tungsten disc r_mm=5 half_length_mm=1
# columns = x_m,y_m,z_m,px_gev_c,py_gev_c,pz_gev_c
0.0027135,0.00128217,0.001,0.00186883,-0.000198318,0.00135769
-0.00035111,0.000936973,0.001,0.000531575,0.00102293,0.0015218
4.28769e-05,0.00012022,0.001,0.0014768,0.00217381,0.00107422
0.000618007,-0.000641572,0.001,0.00129609,-0.000422922,0.00344617
-0.000235674,-0.000472549,0.001,-0.00156156,-0.000953085,0.00284324
-0.00139545,-0.00161603,0.001,-0.000142601,-0.000487534,0.0014825
-0.000749275,0.0013154,0.001,-0.00107826,0.00187947,0.00108782
-0.000321854,-0.00110717,0.001,-0.00345043,-0.001516,0.00381115
-0.000265955,0.000371311,0.001,-0.00307524,0.000137145,0.00126698
-0.00110208,0.000337378,0.001,-0.00193985,-0.000987514,0.0028671
0.00161385,0.00065918,0.001,0.00184904,0.000274462,0.00131001
7.94188e-05,0.00482827,0.001,-0.000947711,0.00238511,0.00151901
-0.00199458,0.000686924,-0.001,-0.00193092,-0.00028405,-0.00170484
0.000277717,4.55889e-05,0.001,0.000143144,-0.000784884,0.00309675
0.00139939,-0.00250406,0.001,-0.000345216,-7.73664e-05,0.00127793
0.000241553,-0.000466462,0.001,0.000780952,-0.00301781,0.00184571
0.00103629,0.00118275,0.001,5.78271e-05,-0.000392947,0.000133207
-0.00172369,-0.000544613,0.001,0.000236118,0.000630875,0.000514691
0.000395547,0.000330972,0.001,-0.00138276,-0.00124164,0.000752729
-0.00209419,0.00133107,-0.001,0.000187747,-0.00018563,-0.00135161
0.00392661,-0.00309544,0.000669509,0.00188009,-0.00126553,0.00136904
0.00335627,-0.00127158,-0.001,-5.02985e-05,-0.000925331,-0.00172889
-0.000394001,-0.000291835,0.001,0.000160674,-0.00153166,0.00116718
0.000257436,-0.0020905,0.001,0.0015075,-0.00255697,0.00189531
-0.00144635,-0.00112252,0.001,-0.00024865,-0.000148635,0.000890495
-0.00114625,0.000657761,0.001,-0.00226035,0.00208481,0.00264397
-0.00154194,0.00260153,-0.001,0.000103601,-0.000338539,-0.000926377
0.00134992,-0.00102423,0.001,-3.59005e-05,-0.000682997,0.00272982
1.38006e-05,0.00121817,0.001,-0.000384852,0.0009389,0.000397366
-0.000866314,-0.00251488,0.001,-0.000442499,-0.000139898,0.0003853
0.00128792,0.00200771,0.001,-0.00132998,0.00210232,0.002059
0.00492518,0.000861727,0.000367643,0.000771183,0.000864443,-0.000414416
-0.00227012,-0.000450241,-0.001,8.42719e-05,-0.000515572,-0.000467644
-0.0030276,-0.00397915,0.00095076,-0.00110591,-0.00185806,0.000766774
-0.000306512,-0.000990737,0.001,0.000935845,-0.000494592,0.000984499
-0.000327294,-0.000598229,0.001,0.000261285,0.000232308,0.00145201
-6.2113e-05,0.000596902,0.001,-0.00207572,0.000551875,0.0024686
-0.000927444,-0.00166215,0.001,-0.00114594,0.000475895,0.000722528
0.000996555,-6.13071e-05,0.001,-0.000623433,-0.000205404,0.000925297
0.000144874,0.000570489,0.001,0.000551236,0.000474614,0.000790372
-4.47934e-05,1.94641e-05,0.001,0.000835762,-0.00149416,0.00284727
-0.00143048,-0.00197603,0.001,0.000723789,0.000375389,0.00094442
-0.000274836,-0.000304106,0.001,0.00178619,-0.00396673,0.00116358
0.000218557,0.00026524,0.001,0.00322337,-0.00224923,0.00173046
-2.94311e-05,0.000103067,0.001,0.00133657,-0.00136473,0.0026405
0.00222065,-0.000988986,-0.001,0.000468569,-0.000221972,-0.00142784
0.000198775,-0.000648034,0.001,3.93662e-05,0.000715133,0.00280508
0.00047044,-0.000146184,0.001,-3.36994e-05,0.00036295,0.00136881
-0.000215232,-0.00228474,0.001,0.000499453,0.000245067,0.000347888
9.43839e-05,-0.000629551,0.001,0.000788485,-0.000507355,0.00395525
-0.00106807,-0.00135486,0.001,0.000527032,0.0013806,0.000481906
-0.000411847,0.000510774,0.001,-0.00105975,-0.000914068,0.00135751
0.00280143,-0.00243383,-0.001,0.00100791,0.000386658,-0.00139679
0.000273677,0.00035081,0.001,-0.00106624,0.000403357,0.00128448
3.93286e-05,-0.000209299,0.001,-0.000875822,-0.000924531,0.000767955
-7.63277e-05,0.000623543,0.001,0.00127679,0.000300624,0.00221332
-0.000373445,-0.000802047,0.001,-0.00180702,-0.00247928,0.00436411
-0.00171739,3.29403e-05,0.001,-0.00213824,0.000810164,0.00242428
-0.000470339,-0.000961415,0.001,0.00160689,0.00159531,0.00156972
0.000448401,0.000313258,0.001,4.45093e-05,-0.00147448,0.00208514
0.000236164,0.00023786,-0.001,0.00189348,-0.000815168,-0.000903075
0.00128566,0.00202464,0.001,-0.00140554,0.000180844,0.000728948
0.000183925,-0.000488135,0.001,0.000338968,0.000815932,0.000605022
0.000663396,0.00138594,0.001,0.000732544,0.000129334,0.00201617
-0.000767154,-0.00217305,0.001,-0.000526874,-0.000426315,0.000297499
-0.00170628,-0.000929752,0.001,5.94453e-05,0.000936473,0.00137472
0.000259103,0.00171948,0.001,0.00108261,0.00184923,0.0014049
0.000596283,0.000896755,0.001,-5.90202e-06,1.72208e-05,0.00128654
2.48492e-05,0.000505452,0.001,0.0032909,0.00072128,0.00210387
